"","Month","Neighbourhood","Mean","Count"
"1",1,"ALPHABET CITY            ",4460730.46153846,13
"2",2,"ALPHABET CITY            ",957248.25,4
"3",3,"ALPHABET CITY            ",2738500,6
"4",4,"ALPHABET CITY            ",2879560.15384615,13
"5",5,"ALPHABET CITY            ",3848125,8
"6",6,"ALPHABET CITY            ",683495.470588235,17
"7",7,"ALPHABET CITY            ",880877.222222222,18
"8",8,"ALPHABET CITY            ",1722258.33333333,12
"9",9,"ALPHABET CITY            ",3012769.76923077,13
"10",10,"ALPHABET CITY            ",2367335.84615385,13
"11",11,"ALPHABET CITY            ",1704638.88888889,9
"12",12,"ALPHABET CITY            ",2577111.11111111,9
"13",1,"CHELSEA                  ",1164957.4,50
"14",2,"CHELSEA                  ",1168869.64705882,34
"15",3,"CHELSEA                  ",3360223.60784314,51
"16",4,"CHELSEA                  ",2271429.77941176,68
"17",5,"CHELSEA                  ",1546790.76666667,120
"18",6,"CHELSEA                  ",2715624.91578947,95
"19",7,"CHELSEA                  ",3224074.78125,96
"20",8,"CHELSEA                  ",2496442.35443038,79
"21",9,"CHELSEA                  ",2054520.36956522,92
"22",10,"CHELSEA                  ",2013848.77777778,54
"23",11,"CHELSEA                  ",2269063.75384615,65
"24",12,"CHELSEA                  ",3940485.81395349,86
"25",1,"CHINATOWN                ",758925.303030303,33
"26",2,"CHINATOWN                ",1421666.6,5
"27",3,"CHINATOWN                ",2918437.5,4
"28",4,"CHINATOWN                ",1046363.63636364,11
"29",5,"CHINATOWN                ",1797825,4
"30",6,"CHINATOWN                ",3911682.1,10
"31",7,"CHINATOWN                ",10992500,5
"32",8,"CHINATOWN                ",2937272.72727273,11
"33",9,"CHINATOWN                ",3239961.125,8
"34",10,"CHINATOWN                ",4956000,10
"35",11,"CHINATOWN                ",10143079.4285714,7
"36",12,"CHINATOWN                ",1431500,7
"37",1,"CIVIC CENTER             ",1525000,9
"38",2,"CIVIC CENTER             ",1410843.14285714,14
"39",3,"CIVIC CENTER             ",2551272.72727273,11
"40",4,"CIVIC CENTER             ",4215780.6,10
"41",5,"CIVIC CENTER             ",2673543.08333333,12
"42",6,"CIVIC CENTER             ",3114602.5,16
"43",7,"CIVIC CENTER             ",2291429.28571429,14
"44",8,"CIVIC CENTER             ",3421067,12
"45",9,"CIVIC CENTER             ",2249714.28571429,7
"46",10,"CIVIC CENTER             ",10550218.8181818,11
"47",11,"CIVIC CENTER             ",6186742.73333333,15
"48",12,"CIVIC CENTER             ",10351211.8,15
"49",1,"CLINTON                  ",1838284.3,20
"50",2,"CLINTON                  ",11897919.125,16
"51",3,"CLINTON                  ",1339343.04,25
"52",4,"CLINTON                  ",1393395.93548387,31
"53",5,"CLINTON                  ",2273800.39285714,28
"54",6,"CLINTON                  ",1661582.46428571,28
"55",7,"CLINTON                  ",731347.789473684,19
"56",8,"CLINTON                  ",1820700,25
"57",9,"CLINTON                  ",1230960,20
"58",10,"CLINTON                  ",815714.409090909,22
"59",11,"CLINTON                  ",12083750,16
"60",12,"CLINTON                  ",1527102.77777778,18
"61",1,"EAST VILLAGE             ",4408277.77272727,22
"62",2,"EAST VILLAGE             ",1463037.16666667,12
"63",3,"EAST VILLAGE             ",5483284,4
"64",4,"EAST VILLAGE             ",2669547.78571429,14
"65",5,"EAST VILLAGE             ",799413.846153846,13
"66",6,"EAST VILLAGE             ",3191644.92307692,13
"67",7,"EAST VILLAGE             ",1148983.14285714,14
"68",8,"EAST VILLAGE             ",2719090.90909091,11
"69",9,"EAST VILLAGE             ",1754881.52941176,17
"70",10,"EAST VILLAGE             ",1789691.8125,16
"71",11,"EAST VILLAGE             ",3355031.11111111,9
"72",12,"EAST VILLAGE             ",4846665.11764706,17
"73",1,"FASHION                  ",2768059.14285714,14
"74",2,"FASHION                  ",2297250,9
"75",3,"FASHION                  ",9472528.6,10
"76",4,"FASHION                  ",1440000.72727273,11
"77",5,"FASHION                  ",1453047.66666667,12
"78",6,"FASHION                  ",4383788.45454545,11
"79",7,"FASHION                  ",8609476.5,12
"80",8,"FASHION                  ",20943391.5,12
"81",9,"FASHION                  ",20303566.4666667,15
"82",10,"FASHION                  ",35058168.3043478,23
"83",11,"FASHION                  ",12738170.1666667,12
"84",12,"FASHION                  ",22423376.9375,16
"85",1,"FINANCIAL                ",892542.92,25
"86",2,"FINANCIAL                ",1201505.33333333,18
"87",3,"FINANCIAL                ",1045414.93103448,29
"88",4,"FINANCIAL                ",1404629.62790698,43
"89",5,"FINANCIAL                ",1188356.25,44
"90",6,"FINANCIAL                ",3653273.50980392,51
"91",7,"FINANCIAL                ",4415609.57407407,54
"92",8,"FINANCIAL                ",9336305.89090909,55
"93",9,"FINANCIAL                ",1013083.05454545,55
"94",10,"FINANCIAL                ",6717617.90384615,52
"95",11,"FINANCIAL                ",19645803.5135135,37
"96",12,"FINANCIAL                ",25800306.3333333,36
"97",1,"FLATIRON                 ",2481873.7,20
"98",2,"FLATIRON                 ",8130521.8,25
"99",3,"FLATIRON                 ",1507929,22
"100",4,"FLATIRON                 ",3350967.40625,32
"101",5,"FLATIRON                 ",1963488.47222222,36
"102",6,"FLATIRON                 ",10431128.3142857,35
"103",7,"FLATIRON                 ",1994629.87804878,41
"104",8,"FLATIRON                 ",2172882.9375,32
"105",9,"FLATIRON                 ",1882087.37735849,53
"106",10,"FLATIRON                 ",2897750.71111111,45
