,Unnamed: 0,Month,Neighbourhood,Mean,Count
0,1,1,ALPHABET CITY,4460730.46153846,13
1,2,2,ALPHABET CITY,957248.25,4
2,3,3,ALPHABET CITY,2738500.0,6
3,4,4,ALPHABET CITY,2879560.15384615,13
4,5,5,ALPHABET CITY,3848125.0,8
5,6,6,ALPHABET CITY,683495.470588235,17
6,7,7,ALPHABET CITY,880877.222222222,18
7,8,8,ALPHABET CITY,1722258.33333333,12
8,9,9,ALPHABET CITY,3012769.76923077,13
9,10,10,ALPHABET CITY,2367335.84615385,13
10,11,11,ALPHABET CITY,1704638.88888889,9
11,12,12,ALPHABET CITY,2577111.11111111,9
12,13,1,CHELSEA,1164957.4,50
13,14,2,CHELSEA,1168869.64705882,34
14,15,3,CHELSEA,3360223.60784314,51
15,16,4,CHELSEA,2271429.77941176,68
16,17,5,CHELSEA,1546790.76666667,120
17,18,6,CHELSEA,2715624.91578947,95
18,19,7,CHELSEA,3224074.78125,96
19,20,8,CHELSEA,2496442.35443038,79
20,21,9,CHELSEA,2054520.36956522,92
21,22,10,CHELSEA,2013848.77777778,54
22,23,11,CHELSEA,2269063.75384615,65
23,24,12,CHELSEA,3940485.81395349,86
24,25,1,CHINATOWN,758925.303030303,33
25,26,2,CHINATOWN,1421666.6,5
26,27,3,CHINATOWN,2918437.5,4
27,28,4,CHINATOWN,1046363.63636364,11
28,29,5,CHINATOWN,1797825.0,4
29,30,6,CHINATOWN,3911682.1,10
30,31,7,CHINATOWN,10992500.0,5
31,32,8,CHINATOWN,2937272.72727273,11
32,33,9,CHINATOWN,3239961.125,8
33,34,10,CHINATOWN,4956000.0,10
34,35,11,CHINATOWN,10143079.428571401,7
35,36,12,CHINATOWN,1431500.0,7
36,37,1,CIVIC CENTER,1525000.0,9
37,38,2,CIVIC CENTER,1410843.14285714,14
38,39,3,CIVIC CENTER,2551272.72727273,11
39,40,4,CIVIC CENTER,4215780.6,10
40,41,5,CIVIC CENTER,2673543.08333333,12
41,42,6,CIVIC CENTER,3114602.5,16
42,43,7,CIVIC CENTER,2291429.28571429,14
43,44,8,CIVIC CENTER,3421067.0,12
44,45,9,CIVIC CENTER,2249714.28571429,7
45,46,10,CIVIC CENTER,10550218.818181802,11
46,47,11,CIVIC CENTER,6186742.73333333,15
47,48,12,CIVIC CENTER,10351211.8,15
48,49,1,CLINTON,1838284.3,20
49,50,2,CLINTON,11897919.125,16
50,51,3,CLINTON,1339343.04,25
51,52,4,CLINTON,1393395.93548387,31
52,53,5,CLINTON,2273800.39285714,28
53,54,6,CLINTON,1661582.46428571,28
54,55,7,CLINTON,731347.789473684,19
55,56,8,CLINTON,1820700.0,25
56,57,9,CLINTON,1230960.0,20
57,58,10,CLINTON,815714.4090909091,22
58,59,11,CLINTON,12083750.0,16
59,60,12,CLINTON,1527102.77777778,18
60,61,1,EAST VILLAGE,4408277.77272727,22
61,62,2,EAST VILLAGE,1463037.16666667,12
62,63,3,EAST VILLAGE,5483284.0,4
63,64,4,EAST VILLAGE,2669547.78571429,14
64,65,5,EAST VILLAGE,799413.8461538459,13
65,66,6,EAST VILLAGE,3191644.92307692,13
66,67,7,EAST VILLAGE,1148983.14285714,14
67,68,8,EAST VILLAGE,2719090.90909091,11
68,69,9,EAST VILLAGE,1754881.52941176,17
69,70,10,EAST VILLAGE,1789691.8125,16
70,71,11,EAST VILLAGE,3355031.11111111,9
71,72,12,EAST VILLAGE,4846665.11764706,17
72,73,1,FASHION,2768059.14285714,14
73,74,2,FASHION,2297250.0,9
74,75,3,FASHION,9472528.6,10
75,76,4,FASHION,1440000.72727273,11
76,77,5,FASHION,1453047.66666667,12
77,78,6,FASHION,4383788.45454545,11
78,79,7,FASHION,8609476.5,12
