"","NEIGHBORHOOD.","BUILDING.CLASS.CATEGORY.","TAX.CLASS.AS.OF.FINAL.ROLL.17.18","BLOCK.","LOT.","BUILDING.CLASS.AS.OF.FINAL.ROLL.17.18","ADDRESS.","ZIP.CODE.","YEAR.BUILT.","TAX.CLASS.AT.TIME.OF.SALE.","BUILDING.CLASS.AT.TIME.OF.SALE.","SALE.PRICE.","SALE.DATE.","MONTH"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2",375,28,"C4","738 EAST 6TH STREET","10009",1900,"2","C4",3750000,"03-04-2017","04"
"2","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2",385,36,"C7","27 AVENUE C","10009",1910,"2","C7",5235000,"11-07-2017","07"
"3","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2A",392,5,"C2","151 AVENUE B","10009",1900,"2","C2",0,"16-06-2017","06"
"4","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2A",392,6,"C2","153 AVENUE B","10009",1900,"2","C2",6625000,"19-07-2017","07"
"5","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2",400,61,"C7","193 EAST 4TH   STREET","10009",1900,"2","C7",7675000,"13-11-2017","11"
"6","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2",405,16,"C4","516 EAST 12TH   STREET","10009",1900,"2","C4",0,"20-07-2017","07"
"7","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2",407,18,"C7","520 EAST 14TH   STREET","10009",1900,"2","C7",0,"20-07-2017","07"
"8","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2",379,34,"D5","141 AVENUE D","10009",1920,"2","D5",0,"20-06-2017","06"
"9","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2",394,44,"D7","181 AVENUE C","10009",1910,"2","D7",0,"20-07-2017","07"
"10","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,40,"C6","327 EAST 3 STREET, 1C","10009",1920,"2","C6",499000,"10-03-2017","03"
"11","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,40,"C6","327 EAST 3 STREET, 3A","10009",1920,"2","C6",10,"28-04-2017","04"
"12","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,40,"C6","327 EAST 3RD STREET, 5A","10009",1920,"2","C6",529500,"09-06-2017","06"
"13","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,40,"C6","327 EAST 3 STREET, 2E","10009",1920,"2","C6",423000,"14-07-2017","07"
"14","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,40,"C6","327 EAST 3 STREET, 1B","10009",1920,"2","C6",400,"15-12-2017","12"
"15","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,46,"C6","317 EAST 3RD STREET, 12","10009",1925,"2","C6",501000,"16-03-2017","03"
"16","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,49,"C6","311 EAST 3RD, 22","10009",1920,"2","C6",510000,"17-08-2017","08"
"17","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS               ","2",373,49,"C6","311 EAST 3RD STREET, 12","10009",1920,"2","C6",449000,"06-11-2017","11"
