,Location,Value,Count,Val_Product
0,FASHION,1694656.6859411253,307.17207849770784,520551216.56057274
1,CIVIC CENTER,1597671.9310731925,301.5460870414973,481771719.19115394
2,CHELSEA,1561596.5121459197,282.801809348166,441622319.10665137
3,GREENWICH VILLAGE-WEST,1559407.2379170775,265.6582734361291,414269434.40885377
4,SOHO,1539952.0382880203,199.8030005544424,307687037.95987606
5,MIDTOWN CBD,1535591.9288649643,198.5526470988989,304895842.3398427
6,MIDTOWN WEST,1533887.3378320436,196.38547849282622,301233198.79423326
7,FLATIRON,1522949.7188563447,184.58961628004909,281120704.2175013
8,UPPER WEST SIDE (59-79),1517591.20368622,179.80243960022926,272866600.73863083
9,WASHINGTON HEIGHTS LOWER,1516840.322860211,174.25966511666775,264324086.69707853
10,MURRAY HILL,1514634.9888270162,168.9307609833777,255868441.27459762
11,TRIBECA,1511844.3641462922,163.66646931320432,247438229.23089004
12,MIDTOWN EAST,1510494.384639911,156.7140578366816,236715704.3564418
13,LOWER EAST SIDE,1509265.682148147,155.89524749293923,235287347.0510851
14,LITTLE ITALY,1507677.5459399119,154.84961496293542,233463287.47705874
15,UPPER WEST SIDE (79-96),1507659.5105247062,153.1493726782501,230897108.24925637
16,UPPER EAST SIDE (59-79),1507484.530883893,152.3546748384833,229672315.52685905
17,WASHINGTON HEIGHTS UPPER,1503643.7309545027,144.38949132710698,217110353.44971395
18,INWOOD,1503534.7537106797,143.83125211670998,216255286.22719622
19,CHINATOWN,1502247.7175909353,140.7479958310723,211438355.49272683
20,HARLEM-CENTRAL,1501350.7902637003,139.40027741715312,209288716.6632219
21,EAST VILLAGE,1501105.7507885534,139.30577751249078,209112703.74207065
22,UPPER WEST SIDE (96-116),1500216.534716583,138.41958746314052,207659353.84085166
23,UPPER EAST SIDE (96-110),1500169.2050286224,137.9116435982287,206890800.74094543
24,GRAMERCY,1499554.7900533585,135.30859150737524,202902646.53025773
25,FINANCIAL,1499426.5877791916,131.6616012621671,197416905.5220757
26,MANHATTAN VALLEY,1498833.798307672,131.525938116014,197135521.40240508
27,UPPER EAST SIDE (79-96),1498710.3332509275,128.66247791051865,192827785.1461635
28,GREENWICH VILLAGE-CENTRAL,1497350.7093646831,128.24421878531575,192026571.97011217
29,HARLEM-EAST,1494096.6446154888,124.93540574610232,186665570.51892614
30,CLINTON,1490851.1620897846,123.18382785283028,183648752.90506
31,ALPHABET CITY,1490301.1987632068,121.86618129536508,181617316.07317686
32,KIPS BAY,1486623.0149744544,121.67842654138805,180889949.32230598
33,HARLEM-UPPER,1482836.045130025,116.42574893496929,172640297.10203108
34,MORNINGSIDE HEIGHTS,1480965.39656982,115.23553715460001,170659842.9810984
