,Location,Value
6,FASHION,9250563.304202588
3,CIVIC CENTER,8876173.703740397
1,CHELSEA,8786325.981159039
11,GREENWICH VILLAGE-WEST,8716672.187963845
33,WASHINGTON HEIGHTS LOWER,8566992.644595522
21,MIDTOWN EAST,8534520.867322776
30,UPPER WEST SIDE (59-79),8528055.394024309
24,MURRAY HILL,8518592.85533255
17,LITTLE ITALY,8517841.995749667
31,UPPER WEST SIDE (79-96),8513167.827930376
34,WASHINGTON HEIGHTS UPPER,8510630.251383848
2,CHINATOWN,8506004.900271442
25,SOHO,8495371.525367092
26,TRIBECA,8494775.910559623
27,UPPER EAST SIDE (59-79),8494334.393398684
7,FINANCIAL,8484288.09356457
9,GRAMERCY,8482102.30320863
8,FLATIRON,8476948.635516515
20,MIDTOWN CBD,8475267.83678634
28,UPPER EAST SIDE (79-96),8465302.345809054
12,HARLEM-CENTRAL,8461992.241689643
22,MIDTOWN WEST,8455488.020926705
5,EAST VILLAGE,8443893.097101418
10,GREENWICH VILLAGE-CENTRAL,8440134.720506538
13,HARLEM-EAST,8439825.887919655
4,CLINTON,8429878.87846325
16,KIPS BAY,8421623.756649548
14,HARLEM-UPPER,8412676.533743495
32,UPPER WEST SIDE (96-116),8410610.29970885
23,MORNINGSIDE HEIGHTS,8408182.465158733
0,ALPHABET CITY,8403154.216891088
29,UPPER EAST SIDE (96-110),8397414.87617515
19,MANHATTAN VALLEY,8397331.008307975
15,INWOOD,8387967.122700097
18,LOWER EAST SIDE,8365879.729634847
