,Location,Value
30,UPPER WEST SIDE (59-79),307.17207849770784
27,UPPER EAST SIDE (59-79),301.54608704149723
28,UPPER EAST SIDE (79-96),282.801809348166
21,MIDTOWN EAST,265.6582734361291
22,MIDTOWN WEST,199.8030005544424
31,UPPER WEST SIDE (79-96),198.5526470988989
1,CHELSEA,196.38547849282622
24,MURRAY HILL,184.58961628004909
12,HARLEM-CENTRAL,179.80243960022926
10,GREENWICH VILLAGE-CENTRAL,174.25966511666775
26,TRIBECA,168.9307609833777
11,GREENWICH VILLAGE-WEST,163.6664693132043
9,GRAMERCY,156.7140578366816
18,LOWER EAST SIDE,155.89524749293923
4,CLINTON,154.84961496293545
8,FLATIRON,153.14937267825007
7,FINANCIAL,152.35467483848333
32,UPPER WEST SIDE (96-116),144.38949132710695
16,KIPS BAY,143.83125211670995
34,WASHINGTON HEIGHTS UPPER,140.74799583107233
19,MANHATTAN VALLEY,139.40027741715312
25,SOHO,139.30577751249075
20,MIDTOWN CBD,138.4195874631405
15,INWOOD,137.9116435982287
3,CIVIC CENTER,135.30859150737524
2,CHINATOWN,131.6616012621671
14,HARLEM-UPPER,131.525938116014
5,EAST VILLAGE,128.66247791051865
0,ALPHABET CITY,128.24421878531575
13,HARLEM-EAST,124.93540574610233
6,FASHION,123.18382785283029
33,WASHINGTON HEIGHTS LOWER,121.8661812953651
23,MORNINGSIDE HEIGHTS,121.67842654138803
29,UPPER EAST SIDE (96-110),116.4257489349693
17,LITTLE ITALY,115.23553715460002
